trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
32	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_12_right	ycyc	upright	12	right	(-15, -13)	(14, 10)	11.0	-1.0	1.0	2972	11	0
33	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_15_right	7-44	inverted	15	right	(-29, 11)	(-33, -4)	12.0	-3.0	3.0	4268	22	10
34	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(-8, -4)	(18, -2)	-10.0	0.0	0.0	2834	2	12
35	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_15_right	ycyc	inverted	15	right	(-16, 5)	(-4, -1)	7.0	-8.0	8.0	3116	11	4
36	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_1_right	ycyc	inverted	1	right	(-3, 1)	(23, 1)	0.0	-1.0	1.0	1391	0	0
37	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_1_right	ycyc	upright	1	right	(-7, -3)	(16, 5)	0.0	-1.0	1.0	1101	0	0
38	real	2022-10-12 13:59	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_15_right	7-44	upright	15	right	(3, -4)	(-5, 0)	7.0	-8.0	8.0	2982	10	3
39	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(17, 12)	(21, 3)	-8.0	-1.0	1.0	6367	4	12
40	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_7_right	7-44	inverted	7	right	(21, -13)	(29, 8)	2.0	-5.0	5.0	6133	2	0
41	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_9_left	ycyc	inverted	9	left	(6, 10)	(11, 14)	-9.0	0.0	0.0	5332	10	19
42	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_16_left	7-44	inverted	16	left	(-19, 4)	(13, 8)	-11.0	5.0	5.0	3349	15	26
43	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_15_left	7-44	inverted	15	left	(32, -13)	(36, 12)	-12.0	3.0	3.0	2583	5	17
44	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_2_left	ycyc	upright	2	left	(-1, -15)	(35, -5)	-4.0	-2.0	2.0	4332	5	9
45	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_13_left	7-44	inverted	13	left	(1, -13)	(10, 4)	-12.0	1.0	1.0	2133	0	12
46	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_13_right	7-44	inverted	13	right	(7, -6)	(37, -10)	8.0	-5.0	5.0	3699	8	0
47	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_3_right	7-44	upright	3	right	(-10, -10)	(-1, -12)	0.0	-3.0	3.0	2001	0	0
48	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_10_right	ycyc	upright	10	right	(31, 10)	(-34, -8)	7.0	-3.0	3.0	3133	7	0
49	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_5_right	7-44	inverted	5	right	(32, 8)	(-31, -2)	8.0	3.0	3.0	5334	14	6
50	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_11_left	ycyc	upright	11	left	(-16, 3)	(33, -1)	-6.0	5.0	5.0	2833	0	6
51	real	2022-10-12 14:00	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_4_right	ycyc	inverted	4	right	(35, -15)	(10, -9)	0.0	-4.0	4.0	1835	0	0
52	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_16_right	ycyc	upright	16	right	(3, 12)	(33, -9)	5.0	-11.0	11.0	4212	9	4
53	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_4_left	ycyc	upright	4	left	(26, 14)	(32, 9)	-4.0	0.0	0.0	2800	0	4
54	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_11_left	7-44	upright	11	left	(1, 12)	(-34, 6)	-8.0	3.0	3.0	3485	4	12
55	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_2_right	ycyc	upright	2	right	(34, -14)	(-36, 3)	0.0	-2.0	2.0	1455	0	0
56	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_15_left	7-44	upright	15	left	(6, 12)	(10, -5)	-11.0	4.0	4.0	4130	13	24
57	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_13_left	ycyc	upright	13	left	(36, 5)	(-19, 9)	-12.0	1.0	1.0	2432	0	12
58	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_9_right	7-44	upright	9	right	(-20, -12)	(37, 10)	7.0	-2.0	2.0	3122	7	0
59	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_3_right	7-44	inverted	3	right	(4, -10)	(-37, 8)	0.0	-3.0	3.0	3033	0	0
60	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_16_left	ycyc	upright	16	left	(28, 1)	(4, -13)	-8.0	8.0	8.0	2003	4	12
61	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_8_right	ycyc	upright	8	right	(10, -1)	(33, 13)	8.0	0.0	0.0	1784	8	0
62	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_11_left	7-44	inverted	11	left	(4, -14)	(-22, 14)	-8.0	3.0	3.0	3420	5	13
63	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_1_right	7-44	inverted	1	right	(16, 7)	(20, 4)	0.0	-1.0	1.0	1268	0	0
64	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_4_left	7-44	upright	4	left	(17, 8)	(16, 4)	-7.0	-3.0	3.0	4647	9	16
65	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_8_left	7-44	inverted	8	left	(-18, -4)	(14, 11)	-8.0	0.0	0.0	2484	0	8
66	real	2022-10-12 14:01	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_3_left	ycyc	upright	3	left	(3, 2)	(25, -1)	-4.0	-1.0	1.0	4136	0	4
67	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_10_left	ycyc	inverted	10	left	(9, -9)	(-28, -2)	-8.0	2.0	2.0	3933	6	14
68	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_1_left	ycyc	upright	1	left	(-21, -14)	(-17, 5)	0.0	1.0	1.0	1235	0	0
69	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_9_right	ycyc	upright	9	right	(-16, 3)	(14, 14)	9.0	0.0	0.0	3403	17	8
70	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_8_left	7-44	upright	8	left	(6, 2)	(8, -14)	-9.0	-1.0	1.0	2684	0	9
71	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_5_right	7-44	upright	5	right	(37, -14)	(-19, -6)	3.0	-2.0	2.0	3250	5	2
72	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_6_right	7-44	upright	6	right	(-12, -14)	(34, -10)	5.0	-1.0	1.0	2800	5	0
73	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_13_left	ycyc	inverted	13	left	(-28, 5)	(32, -4)	-11.0	2.0	2.0	1784	0	11
74	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_14_left	7-44	upright	14	left	(-17, -6)	(-35, -3)	-13.0	1.0	1.0	2284	0	13
75	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_2_left	ycyc	inverted	2	left	(36, 9)	(14, -13)	-5.0	-3.0	3.0	2829	0	5
76	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_7_left	ycyc	inverted	7	left	(4, 9)	(-16, 0)	-8.0	-1.0	1.0	2550	1	9
77	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_12_left	ycyc	inverted	12	left	(-20, -10)	(11, 10)	-10.0	2.0	2.0	2434	0	10
78	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_8_left	ycyc	inverted	8	left	(19, 9)	(2, 13)	-8.0	0.0	0.0	2099	0	8
79	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_6_left	7-44	inverted	6	left	(-36, -10)	(-18, 3)	-6.0	0.0	0.0	2300	0	6
80	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_6_right	ycyc	inverted	6	right	(13, -11)	(25, 5)	6.0	0.0	0.0	7747	21	15
81	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_8_right	ycyc	inverted	8	right	(10, -12)	(10, 11)	8.0	0.0	0.0	1635	8	0
82	real	2022-10-12 14:02	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(-25, -8)	(-27, -2)	-8.0	2.0	2.0	2365	0	8
83	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_15_left	ycyc	inverted	15	left	(-1, 8)	(-3, 2)	-13.0	2.0	2.0	1623	0	13
84	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_5_left	ycyc	upright	5	left	(-28, -4)	(26, 4)	-9.0	-4.0	4.0	2234	0	9
85	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_12_left	ycyc	upright	12	left	(20, 4)	(-9, 2)	-7.0	5.0	5.0	2007	0	7
86	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_1_left	ycyc	inverted	1	left	(-3, -15)	(-20, 6)	-7.0	-6.0	6.0	2717	0	7
87	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_6_left	7-44	upright	6	left	(9, 7)	(-11, -12)	-6.0	0.0	0.0	1602	0	6
88	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_9_left	7-44	inverted	9	left	(25, 5)	(20, -12)	-9.0	0.0	0.0	2238	0	9
89	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_15_right	ycyc	upright	15	right	(33, 13)	(11, 3)	10.0	-5.0	5.0	1918	10	0
90	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_3_right	ycyc	upright	3	right	(-13, -6)	(5, -13)	0.0	-3.0	3.0	1471	0	0
91	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(-16, 4)	(31, 1)	-11.0	4.0	4.0	1684	0	11
92	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_4_left	ycyc	inverted	4	left	(-37, -13)	(11, 10)	-4.0	0.0	0.0	1606	0	4
93	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_13_left	7-44	upright	13	left	(-36, -15)	(15, -5)	-17.0	-4.0	4.0	1666	0	17
94	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_5_right	ycyc	inverted	5	right	(-18, 8)	(-34, -4)	2.0	-3.0	3.0	2933	6	4
95	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_5_left	7-44	inverted	5	left	(1, 5)	(20, 10)	-10.0	-5.0	5.0	2866	9	19
96	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_7_left	7-44	upright	7	left	(-19, -15)	(-14, -11)	-11.0	-4.0	4.0	2899	12	23
97	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_10_right	7-44	upright	10	right	(-3, 11)	(-15, -8)	8.0	-2.0	2.0	1301	8	0
98	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_5_left	ycyc	inverted	5	left	(-9, -3)	(38, 2)	-10.0	-5.0	5.0	1950	0	10
