trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
91	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_12_left	7-44	inverted	12	left	(-16, 4)	(31, 1)	-10.0	2.0	2.0	2918	8	18
92	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_9_right	ycyc	upright	9	right	(-37, -13)	(11, 10)	0.0	-9.0	9.0	1067	0	0
93	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_16_left	7-44	upright	16	left	(-36, -15)	(15, -5)	-15.0	1.0	1.0	3013	8	23
94	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_2_left	7-44	inverted	2	left	(-18, 8)	(-34, -4)	0.0	2.0	2.0	777	0	0
95	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(1, 5)	(20, 10)	-14.0	1.0	1.0	2564	0	14
96	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_6_left	7-44	inverted	6	left	(-19, -15)	(-14, -11)	0.0	6.0	6.0	728	0	0
97	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_10_right	7-44	inverted	10	right	(-3, 11)	(-15, -8)	12.0	2.0	2.0	1866	12	0
98	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(-9, -3)	(38, 2)	0.0	3.0	3.0	759	0	0
99	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_3_right	7-44	inverted	3	right	(34, 4)	(13, 12)	0.0	-3.0	3.0	762	0	0
100	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(30, 9)	(-37, -11)	-6.0	4.0	4.0	2401	13	19
101	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_7_right	ycyc	inverted	7	right	(-40, -12)	(-37, 11)	0.0	-7.0	7.0	663	0	0
102	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_8_left	ycyc	inverted	8	left	(-33, 6)	(-18, -12)	0.0	8.0	8.0	712	0	0
